"final","even","major"
0.9150943396,"odd","Economics"
0.8113207547,"even","Other"
0.9056603774,"even","Other"
0.9433962264,"even","Other"
0.8773584906,"odd","Economics"
0.8396226415,"even","Economics"
0.8396226415,"even","Other"
0.7735849057,"odd","Other"
0.8018867925,"even","Other"
0.7735849057,"odd","Other"
0.8301886792,"even","Other"
0.641509434,"odd","Economics"
0.7547169811,"even","Economics"
0.679245283,"even","Economics"
0.7924528302,"odd","Economics"
0.679245283,"even","Other"
0.7924528302,"even","Other"
0.6886792453,"even","Other"
0.7264150943,"even","Other"
0.6320754717,"odd","Other"
0.641509434,"even","Other"
0.7452830189,"even","Other"
0.7358490566,"even","Economics"
0.7452830189,"even","Other"
0.6037735849,"odd","Economics"
0.4811320755,"odd","Other"
0.4339622642,"odd","Other"
0.3867924528,"even","Other"
0.3679245283,"even","Other"
0.3301886792,"odd","Other"
